InstanceName,basicTask,pctbGridTask,cvchickTask,mainGoalSize,goalPosition,goalOccluded,lavaPresence,minDistToGoal,minNumTurnsGoal,minDistToCorrectChoice,minNumTurnsChoice,numChoices,Random_Agent_Success,Heuristic_Agent_Success,Dreamer_basic_Success,Dreamer_basic_control_Success,PPO_basic_Success,PPO_basic_control_Success,Random_Agent_Choice,Heuristic_Agent_Choice,Dreamer_basic_Choice,Dreamer_basic_control_Choice,PPO_basic_Choice,PPO_basic_control_Choice
OP-Controls-Basic-LavaMedium-Single-0.5-NA-0-Lava.yml,1,0,0,0.5,0,0,1,25,3,25,3,1,0,0,1,0,1,0,0,0,1,0,1,0
OP-Controls-Basic-LavaMedium-Single-1-NA-0-Lava.yml,1,0,0,1,0,0,1,25,3,25,3,1,0,0,1,0,1,0,0,0,1,0,1,0
OP-Controls-Basic-LavaMedium-Single-2-NA-0-Lava.yml,1,0,0,2,0,0,1,25,3,25,3,1,0,0,1,0,0,0,0,0,1,0,0,0
OP-Controls-Basic-LavaMedium-Single-4-NA-0-Lava.yml,1,0,0,4,0,0,1,25,3,25,3,1,0,1,1,0,0,0,0,1,1,0,0,0
OP-Controls-Basic-MovingGreen-LeftLong-0.5-NA-0-NA.yml,1,0,0,0.5,-1,0,0,29,1,29,1,1,0,1,0,0,0,0,0,1,0,0,0,0
OP-Controls-Basic-MovingGreen-LeftLong-1-NA-0-NA.yml,1,0,0,1,-1,0,0,29,1,29,1,1,0,1,0,0,1,0,0,1,0,0,1,0
OP-Controls-Basic-MovingGreen-LeftLong-2-NA-0-NA.yml,1,0,0,2,-1,0,0,29,1,29,1,1,1,1,1,0,1,1,1,1,1,0,1,1
OP-Controls-Basic-MovingGreen-LeftLong-4-NA-0-NA.yml,1,0,0,4,-1,0,0,29,1,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1
OP-Controls-Basic-MovingGreen-LeftMedium-0.5-NA-0-NA.yml,1,0,0,0.5,-1,0,0,19,1,19,1,1,0,1,0,0,1,0,0,1,0,0,1,0
OP-Controls-Basic-MovingGreen-LeftMedium-1-NA-0-NA.yml,1,0,0,1,-1,0,0,19,1,19,1,1,0,1,1,0,1,0,0,1,1,0,1,0
OP-Controls-Basic-MovingGreen-LeftMedium-2-NA-0-NA.yml,1,0,0,2,-1,0,0,19,1,19,1,1,0,1,1,1,1,1,0,1,1,1,1,1
OP-Controls-Basic-MovingGreen-LeftMedium-4-NA-0-NA.yml,1,0,0,4,-1,0,0,19,1,19,1,1,1,1,1,1,1,0,1,1,1,1,1,0
OP-Controls-Basic-MovingGreen-LeftShort-0.5-NA-0-NA.yml,1,0,0,0.5,-1,0,0,9,1,9,1,1,0,1,0,1,1,0,0,1,0,1,1,0
OP-Controls-Basic-MovingGreen-LeftShort-1-NA-0-NA.yml,1,0,0,1,-1,0,0,9,1,9,1,1,1,1,1,1,0,0,1,1,1,1,0,0
OP-Controls-Basic-MovingGreen-LeftShort-2-NA-0-NA.yml,1,0,0,2,-1,0,0,9,1,9,1,1,0,1,1,1,1,0,0,1,1,1,1,0
OP-Controls-Basic-MovingGreen-LeftShort-4-NA-0-NA.yml,1,0,0,4,-1,0,0,9,1,9,1,1,1,1,1,1,1,0,1,1,1,1,1,0
OP-Controls-Basic-MovingGreen-RightLong-0.5-NA-0-NA.yml,1,0,0,0.5,1,0,0,29,1,29,1,1,0,1,0,0,0,0,0,1,0,0,0,0
OP-Controls-Basic-MovingGreen-RightLong-1-NA-0-NA.yml,1,0,0,1,1,0,0,29,1,29,1,1,0,1,1,0,1,0,0,1,1,0,1,0
OP-Controls-Basic-MovingGreen-RightLong-2-NA-0-NA.yml,1,0,0,2,1,0,0,29,1,29,1,1,0,1,1,0,1,0,0,1,1,0,1,0
OP-Controls-Basic-MovingGreen-RightLong-4-NA-0-NA.yml,1,0,0,4,1,0,0,29,1,29,1,1,1,1,1,0,1,1,1,1,1,0,1,1
OP-Controls-Basic-MovingGreen-RightMedium-0.5-NA-0-NA.yml,1,0,0,0.5,1,0,0,19,1,19,1,1,0,1,0,0,1,0,0,1,0,0,1,0
OP-Controls-Basic-MovingGreen-RightMedium-1-NA-0-NA.yml,1,0,0,1,1,0,0,19,1,19,1,1,1,1,1,0,0,0,1,1,1,0,0,0
OP-Controls-Basic-MovingGreen-RightMedium-2-NA-0-NA.yml,1,0,0,2,1,0,0,19,1,19,1,1,1,1,1,0,1,0,1,1,1,0,1,0
OP-Controls-Basic-MovingGreen-RightMedium-4-NA-0-NA.yml,1,0,0,4,1,0,0,19,1,19,1,1,1,1,1,0,1,1,1,1,1,0,1,1
OP-Controls-Basic-MovingGreen-RightShort-0.5-NA-0-NA.yml,1,0,0,0.5,1,0,0,9,1,9,1,1,0,1,1,0,0,0,0,1,1,0,0,0
OP-Controls-Basic-MovingGreen-RightShort-1-NA-0-NA.yml,1,0,0,1,1,0,0,9,1,9,1,1,1,1,1,0,0,0,1,1,1,0,0,0
OP-Controls-Basic-MovingGreen-RightShort-2-NA-0-NA.yml,1,0,0,2,1,0,0,9,1,9,1,1,1,1,1,0,1,1,1,1,1,0,1,1
OP-Controls-Basic-MovingGreen-RightShort-4-NA-0-NA.yml,1,0,0,4,1,0,0,9,1,9,1,1,0,1,1,0,1,1,0,1,1,0,1,1
OP-Controls-Basic-OpaqueWMedium-Short-0.5-Grey-0-Opaque.yml,1,0,0,0.5,0,0,0,35,3,35,3,1,0,1,1,0,1,0,0,1,1,0,1,0
OP-Controls-Basic-OpaqueWMedium-Short-1-Grey-0-Opaque.yml,1,0,0,1,0,0,0,35,3,35,3,1,0,1,1,0,1,0,0,1,1,0,1,0
OP-Controls-Basic-OpaqueWMedium-Short-2-Grey-0-Opaque.yml,1,0,0,2,0,0,0,35,3,35,3,1,0,1,1,0,1,0,0,1,1,0,1,0
OP-Controls-Basic-OpaqueWMedium-Short-4-Grey-0-Opaque.yml,1,0,0,4,0,0,0,35,3,35,3,1,1,1,1,0,1,0,1,1,1,0,1,0
OP-Controls-Basic-RampDown-G5-Centre-NA-0-NA.yml,1,0,0,5,0,0,0,17,0,17,0,1,0,1,1,0,1,1,0,1,1,0,1,1
OP-Controls-Basic-RampDown-G5-Left-NA-0-NA.yml,1,0,0,5,-1,0,0,17,0,17,0,1,1,1,1,1,1,1,1,1,1,1,1,1
OP-Controls-Basic-RampDown-G5-Right-NA-0-NA.yml,1,0,0,5,1,0,0,17,0,17,0,1,1,1,1,1,1,1,1,1,1,1,1,1
OP-Controls-Basic-RampUp-G5-Centre-NA-0-NA.yml,1,0,0,5,0,0,0,19,0,19,0,1,1,1,1,1,1,0,1,1,1,1,1,0
OP-Controls-Basic-RampUp-G5-Left-NA-0-NA.yml,1,0,0,5,-1,0,0,19,0,19,0,1,1,1,1,1,1,0,1,1,1,1,1,0
OP-Controls-Basic-RampUp-G5-Right-NA-0-NA.yml,1,0,0,5,1,0,0,19,0,19,0,1,1,1,1,1,1,0,1,1,1,1,1,0
OP-Controls-Basic-SanityGreen-Long-0.5-NA-0-NA.yml,1,0,0,0.5,0,0,0,36.5,0,36.5,0,1,1,1,0,0,0,0,1,1,0,0,0,0
OP-Controls-Basic-SanityGreen-Long-1-NA-0-NA.yml,1,0,0,1,0,0,0,36.5,0,36.5,0,1,0,1,0,0,0,0,0,1,0,0,0,0
OP-Controls-Basic-SanityGreen-Long-2-NA-0-NA.yml,1,0,0,2,0,0,0,36.5,0,36.5,0,1,1,1,1,0,1,0,1,1,1,0,1,0
OP-Controls-Basic-SanityGreen-Long-4-NA-0-NA.yml,1,0,0,4,0,0,0,36.5,0,36.5,0,1,0,1,1,0,1,1,0,1,1,0,1,1
OP-Controls-Basic-SanityGreen-Medium-0.5-NA-0-NA.yml,1,0,0,0.5,0,0,0,19,0,19,0,1,1,1,1,0,1,1,1,1,1,0,1,1
OP-Controls-Basic-SanityGreen-Medium-1-NA-0-NA.yml,1,0,0,1,0,0,0,19,0,19,0,1,1,1,1,0,1,0,1,1,1,0,1,0
OP-Controls-Basic-SanityGreen-Medium-2-NA-0-NA.yml,1,0,0,2,0,0,0,19,0,19,0,1,0,1,1,0,1,1,0,1,1,0,1,1
OP-Controls-Basic-SanityGreen-Medium-4-NA-0-NA.yml,1,0,0,4,0,0,0,19,0,19,0,1,1,1,1,0,1,1,1,1,1,0,1,1
OP-Controls-Basic-SanityGreen-Short-0.5-NA-0-NA.yml,1,0,0,0.5,0,0,0,9,0,9,0,1,0,1,1,0,1,0,0,1,1,0,1,0
OP-Controls-Basic-SanityGreen-Short-1-NA-0-NA.yml,1,0,0,1,0,0,0,9,0,9,0,1,0,1,1,0,1,1,0,1,1,0,1,1
OP-Controls-Basic-SanityGreen-Short-2-NA-0-NA.yml,1,0,0,2,0,0,0,9,0,9,0,1,0,1,1,0,1,1,0,1,1,0,1,1
OP-Controls-Basic-SanityGreen-Short-4-NA-0-NA.yml,1,0,0,4,0,0,0,9,0,9,0,1,1,1,1,0,1,1,1,1,1,0,1,1
OP-Controls-Basic-TransparentWMedium-Short-0.5-NA-0-Transparent.yml,1,0,0,0.5,0,0,0,35,3,35,3,1,0,1,1,0,1,0,0,1,1,0,1,0
OP-Controls-Basic-TransparentWMedium-Short-1-NA-0-Transparent.yml,1,0,0,1,0,0,0,35,3,35,3,1,0,1,1,0,1,0,0,1,1,0,1,0
OP-Controls-Basic-TransparentWMedium-Short-2-NA-0-Transparent.yml,1,0,0,2,0,0,0,35,3,35,3,1,0,1,1,0,1,0,0,1,1,0,1,0
OP-Controls-Basic-TransparentWMedium-Short-4-NA-0-Transparent.yml,1,0,0,4,0,0,0,35,3,35,3,1,1,1,1,0,0,0,1,1,1,0,0,0
OP-Controls-Basic-TurningGreen-Left-0.5-NA-0-NA.yml,1,0,0,0.5,-1,0,0,19,1,19,1,1,0,1,0,0,0,0,0,1,0,0,0,0
OP-Controls-Basic-TurningGreen-Left-1-NA-0-NA.yml,1,0,0,1,-1,0,0,19,1,19,1,1,0,1,1,0,1,0,0,1,1,0,1,0
OP-Controls-Basic-TurningGreen-Left-2-NA-0-NA.yml,1,0,0,2,-1,0,0,19,1,19,1,1,0,1,1,0,1,0,0,1,1,0,1,0
OP-Controls-Basic-TurningGreen-Left-4-NA-0-NA.yml,1,0,0,4,-1,0,0,19,1,19,1,1,0,1,1,0,1,1,0,1,1,0,1,1
OP-Controls-Basic-TurningGreen-Right-0.5-NA-0-NA.yml,1,0,0,0.5,1,0,0,19,1,19,1,1,0,1,0,0,1,1,0,1,0,0,1,1
OP-Controls-Basic-TurningGreen-Right-1-NA-0-NA.yml,1,0,0,1,1,0,0,19,1,19,1,1,0,1,1,0,1,1,0,1,1,0,1,1
OP-Controls-Basic-TurningGreen-Right-2-NA-0-NA.yml,1,0,0,2,1,0,0,19,1,19,1,1,0,1,1,0,1,0,0,1,1,0,1,0
OP-Controls-Basic-TurningGreen-Right-4-NA-0-NA.yml,1,0,0,4,1,0,0,19,1,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1
OP-Controls-Basic15LO-LavaMedium-Single-0.5-NA-0-Lava.yml,1,0,0,0.5,0,0,1,25,3,25,3,1,1,0,0,0,0,0,1,0,0,0,0,0
OP-Controls-Basic15LO-LavaMedium-Single-1-NA-0-Lava.yml,1,0,0,1,0,0,1,25,3,25,3,1,0,0,1,0,0,0,0,0,1,0,0,0
OP-Controls-Basic15LO-LavaMedium-Single-2-NA-0-Lava.yml,1,0,0,2,0,0,1,25,3,25,3,1,1,1,1,0,0,0,1,1,1,0,0,0
OP-Controls-Basic15LO-LavaMedium-Single-4-NA-0-Lava.yml,1,0,0,4,0,0,1,25,3,25,3,1,0,1,1,0,0,1,0,1,1,0,0,1
OP-Controls-Basic15LO-MovingGreen-LeftLong-0.5-NA-0-NA.yml,1,0,0,0.5,-1,0,0,29,1,29,1,1,0,1,0,0,0,0,0,1,0,0,0,0
OP-Controls-Basic15LO-MovingGreen-LeftLong-1-NA-0-NA.yml,1,0,0,1,-1,0,0,29,1,29,1,1,0,1,0,0,1,0,0,1,0,0,1,0
OP-Controls-Basic15LO-MovingGreen-LeftLong-2-NA-0-NA.yml,1,0,0,2,-1,0,0,29,1,29,1,1,0,1,1,0,1,0,0,1,1,0,1,0
OP-Controls-Basic15LO-MovingGreen-LeftLong-4-NA-0-NA.yml,1,0,0,4,-1,0,0,29,1,29,1,1,1,1,1,1,1,0,1,1,1,1,1,0
OP-Controls-Basic15LO-MovingGreen-LeftMedium-0.5-NA-0-NA.yml,1,0,0,0.5,-1,0,0,19,1,19,1,1,0,1,0,0,1,0,0,1,0,0,1,0
OP-Controls-Basic15LO-MovingGreen-LeftMedium-1-NA-0-NA.yml,1,0,0,1,-1,0,0,19,1,19,1,1,0,1,1,0,1,0,0,1,1,0,1,0
OP-Controls-Basic15LO-MovingGreen-LeftMedium-2-NA-0-NA.yml,1,0,0,2,-1,0,0,19,1,19,1,1,1,1,1,1,1,0,1,1,1,1,1,0
OP-Controls-Basic15LO-MovingGreen-LeftMedium-4-NA-0-NA.yml,1,0,0,4,-1,0,0,19,1,19,1,1,0,1,1,0,1,0,0,1,1,0,1,0
