"InstanceName","basicTask","pctbGridTask","pctb3CupTask","cvchickTask","mainGoalSize","lavaPresence","goalOccluded","goalLeft","goalRight","goalCentre","numChoices","navigationDistanceGoal","euclideanDistanceGoal","navigationTurnsGoal","navigationDistanceChoice","navigationTurnsChoice","Random_Agent_Success","Random_Agent_Choice","Heuristic_Agent_Success","Heuristic_Agent_Choice","Dreamer_Success","Dreamer_Choice","PPO_Success","PPO_Choice"
"OP-Controls-Basic-LavaMedium-Single-0.5-NA-0-Lava.yml",1,0,0,0,0.5,1,0,0,0,1,1,25,19,3,25,3,0,0,0,0,0,0,0,0
"OP-Controls-Basic-LavaMedium-Single-1-NA-0-Lava.yml",1,0,0,0,1,1,0,0,0,1,1,25,19,3,25,3,0,0,0,0,0,0,0,0
"OP-Controls-Basic-LavaMedium-Single-2-NA-0-Lava.yml",1,0,0,0,2,1,0,0,0,1,1,25,19,3,25,3,0,0,0,0,0,0,0,0
"OP-Controls-Basic-LavaMedium-Single-4-NA-0-Lava.yml",1,0,0,0,4,1,0,0,0,1,1,25,19,3,25,3,0,0,1,1,0,0,0,0
"OP-Controls-Basic-MovingGreen-LeftLong-0.5-NA-0-NA.yml",1,0,0,0,0.5,0,0,1,0,0,1,29,33.61547263,1,29,1,0,0,1,1,0,0,0,0
"OP-Controls-Basic-MovingGreen-LeftLong-1-NA-0-NA.yml",1,0,0,0,1,0,0,1,0,0,1,29,33.61547263,1,29,1,0,0,1,1,0,0,0,0
"OP-Controls-Basic-MovingGreen-LeftLong-2-NA-0-NA.yml",1,0,0,0,2,0,0,1,0,0,1,29,33.61547263,1,29,1,0,0,1,1,0,0,1,1
"OP-Controls-Basic-MovingGreen-LeftLong-4-NA-0-NA.yml",1,0,0,0,4,0,0,1,0,0,1,29,33.61547263,1,29,1,0,0,1,1,1,1,1,1
"OP-Controls-Basic-MovingGreen-LeftMedium-0.5-NA-0-NA.yml",1,0,0,0,0.5,0,0,1,0,0,1,19,31.79622619,1,19,1,1,1,1,1,0,0,0,0
"OP-Controls-Basic-MovingGreen-LeftMedium-1-NA-0-NA.yml",1,0,0,0,1,0,0,1,0,0,1,19,31.79622619,1,19,1,0,0,1,1,0,0,0,0
"OP-Controls-Basic-MovingGreen-LeftMedium-2-NA-0-NA.yml",1,0,0,0,2,0,0,1,0,0,1,19,31.79622619,1,19,1,0,0,1,1,1,1,1,1
"OP-Controls-Basic-MovingGreen-LeftMedium-4-NA-0-NA.yml",1,0,0,0,4,0,0,1,0,0,1,19,31.79622619,1,19,1,1,1,1,1,1,1,0,0
"OP-Controls-Basic-MovingGreen-LeftShort-0.5-NA-0-NA.yml",1,0,0,0,0.5,0,0,1,0,0,1,9,19.23538406,1,9,1,0,0,1,1,1,1,0,0
"OP-Controls-Basic-MovingGreen-LeftShort-1-NA-0-NA.yml",1,0,0,0,1,0,0,1,0,0,1,9,19.23538406,1,9,1,0,0,1,1,1,1,0,0
"OP-Controls-Basic-MovingGreen-LeftShort-2-NA-0-NA.yml",1,0,0,0,2,0,0,1,0,0,1,9,19.23538406,1,9,1,0,0,1,1,1,1,0,0
