"InstanceName","basicTask","pctbGridTask","pctb3CupTask","cvchickTask","mainGoalSize","lavaPresence","goalOccluded","goalLeft","goalRight","goalCentre","navigationDistanceGoal","euclideanDistanceGoal","navigationTurnsGoal","navigationDistanceChoice","navigationTurnsChoice","Human_Success","Human_Choice"
"tutorial_10_OP-RP-Allo-PCTB-12CupGrid-G2FarRightClose-NA-0-NA_1.yml",0,1,0,0,2,0,0,0,1,0,35,25.05992817,1,35,1,1,1
"tutorial_10_OP-RP-Allo-PCTB-12CupGrid-G2FarRightClose-NA-0-NA_1.yml",0,1,0,0,2,0,0,0,1,0,35,25.05992817,1,35,1,1,1
"tutorial_10_OP-RP-Allo-PCTB-12CupGrid-G2FarRightClose-NA-0-NA_1.yml",0,1,0,0,2,0,0,0,1,0,35,25.05992817,1,35,1,0,0
"tutorial_10_OP-RP-Allo-PCTB-12CupGrid-G2FarRightClose-NA-0-NA_1.yml",0,1,0,0,2,0,0,0,1,0,35,25.05992817,1,35,1,1,1
"tutorial_10_OP-RP-Allo-PCTB-12CupGrid-G2FarRightClose-NA-0-NA_1.yml",0,1,0,0,2,0,0,0,1,0,35,25.05992817,1,35,1,1,1
"tutorial_10_OP-RP-Allo-PCTB-12CupGrid-G2FarRightClose-NA-0-NA_2.yml",0,1,0,0,2,0,0,0,1,0,35,25.05992817,1,35,1,0,0
"tutorial_10_OP-RP-Allo-PCTB-12CupGrid-G2FarRightClose-NA-0-NA_1.yml",0,1,0,0,2,0,0,0,1,0,35,25.05992817,1,35,1,0,0
"tutorial_10_OP-RP-Allo-PCTB-12CupGrid-G2FarRightClose-NA-0-NA_2.yml",0,1,0,0,2,0,0,0,1,0,35,25.05992817,1,35,1,0,0
"tutorial_10_OP-RP-Allo-PCTB-12CupGrid-G2FarRightClose-NA-0-NA_1.yml",0,1,0,0,2,0,0,0,1,0,35,25.05992817,1,35,1,1,1
"tutorial_10_OP-RP-Allo-PCTB-12CupGrid-G2FarRightClose-NA-0-NA_2.yml",0,1,0,0,2,0,0,0,1,0,35,25.05992817,1,35,1,1,1
"tutorial_10_OP-RP-Allo-PCTB-12CupGrid-G2FarRightClose-NA-0-NA_1.yml",0,1,0,0,2,0,0,0,1,0,35,25.05992817,1,35,1,0,0
"tutorial_10_OP-RP-Allo-PCTB-12CupGrid-G2FarRightClose-NA-0-NA_1.yml",0,1,0,0,2,0,0,0,1,0,35,25.05992817,1,35,1,1,1
"tutorial_10_OP-RP-Allo-PCTB-12CupGrid-G2FarRightClose-NA-0-NA_1.yml",0,1,0,0,2,0,0,0,1,0,35,25.05992817,1,35,1,1,1
"tutorial_10_OP-RP-Allo-PCTB-12CupGrid-G2FarRightClose-NA-0-NA_1.yml",0,1,0,0,2,0,0,0,1,0,35,25.05992817,1,35,1,0,0
"tutorial_10_OP-RP-Allo-PCTB-12CupGrid-G2FarRightClose-NA-0-NA_1.yml",0,1,0,0,2,0,0,0,1,0,35,25.05992817,1,35,1,1,1
"tutorial_10_OP-RP-Allo-PCTB-12CupGrid-G2FarRightClose-NA-0-NA_1.yml",0,1,0,0,2,0,0,0,1,0,35,25.05992817,1,35,1,0,0
"tutorial_10_OP-RP-Allo-PCTB-12CupGrid-G2FarRightClose-NA-0-NA_2.yml",0,1,0,0,2,0,0,0,1,0,35,25.05992817,1,35,1,1,1
"tutorial_10_OP-RP-Allo-PCTB-12CupGrid-G2FarRightClose-NA-0-NA_1.yml",0,1,0,0,2,0,0,0,1,0,35,25.05992817,1,35,1,1,1
"tutorial_10_OP-RP-Allo-PCTB-12CupGrid-G2FarRightClose-NA-0-NA_2.yml",0,1,0,0,2,0,0,0,1,0,35,25.05992817,1,35,1,1,1
"tutorial_10_OP-RP-Allo-PCTB-12CupGrid-G2FarRightClose-NA-0-NA_1.yml",0,1,0,0,2,0,0,0,1,0,35,25.05992817,1,35,1,1,1
"tutorial_10_OP-RP-Allo-PCTB-12CupGrid-G2FarRightClose-NA-0-NA_1.yml",0,1,0,0,2,0,0,0,1,0,35,25.05992817,1,35,1,0,0
"tutorial_10_OP-RP-Allo-PCTB-12CupGrid-G2FarRightClose-NA-0-NA_2.yml",0,1,0,0,2,0,0,0,1,0,35,25.05992817,1,35,1,1,1
"tutorial_10_OP-RP-Allo-PCTB-12CupGrid-G2FarRightClose-NA-0-NA_1.yml",0,1,0,0,2,0,0,0,1,0,35,25.05992817,1,35,1,1,1
"tutorial_10_OP-RP-Allo-PCTB-12CupGrid-G2FarRightClose-NA-0-NA_1.yml",0,1,0,0,2,0,0,0,1,0,35,25.05992817,1,35,1,1,1
"tutorial_10_OP-RP-Allo-PCTB-12CupGrid-G2FarRightClose-NA-0-NA_1.yml",0,1,0,0,2,0,0,0,1,0,35,25.05992817,1,35,1,0,0
"tutorial_10_OP-RP-Allo-PCTB-12CupGrid-G2FarRightClose-NA-0-NA_1.yml",0,1,0,0,2,0,0,0,1,0,35,25.05992817,1,35,1,1,1
"tutorial_10_OP-RP-Allo-PCTB-12CupGrid-G2FarRightClose-NA-0-NA_1.yml",0,1,0,0,2,0,0,0,1,0,35,25.05992817,1,35,1,1,1
"tutorial_10_OP-RP-Allo-PCTB-12CupGrid-G2FarRightClose-NA-0-NA_1.yml",0,1,0,0,2,0,0,0,1,0,35,25.05992817,1,35,1,1,1
"tutorial_10_OP-RP-Allo-PCTB-12CupGrid-G2FarRightClose-NA-0-NA_1.yml",0,1,0,0,2,0,0,0,1,0,35,25.05992817,1,35,1,1,1
